Name,Date of birth,Date of death,Remarks,ASA Botanist ID,GUID,Variant name,Author name,B & P Author Abbrev.,Standard/Label Name,Full Name,Geography Collector,Specialty Author,Citation as Author,Citation as Collector,Member of teams/groups,Holdings,Collections in,Collector Teams:,URL,Geography Author,Specialty Collector,Author in,Author Teams:,Start Date,End Date,First date collected,Geography Determiner,Specialty Determiner,First date flourished,Last date collected,Citation as Determiner,Last date flourished,Specialty,Vernacular name,First date received
"Mendez Santos, Isidro Eduardo",1958,,"[author note: Pedagogical College; Verbenaceae, Lamiaceae, Cuban Fl., Fl. Gr. Antilles; Col. at: HAC, HAJB, HIPC, HPPR, HPVC] [collector note: HAC, HAJB, HIPC, HPPR, HPVC]",109949 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/eac3a843-aedf-42bd-a825-b757736c6cb7,Isidoro Eduardo Méndez Santos; Isidro Eduardo Méndez; Isidro Eduardo Méndez,I. E. Méndez,I. E. Méndez,I. E. Méndez S.,"Mendez Santos, Isidro Eduardo",Cuba,Spermatophytes,Fontqueria 33: 1. 1992,pers. comm.,,,,I. E. Méndez S. & Romano  C. E. Moya López & I. E. Méndez S.,,Cuba,Phanerogams,,C. E. Moya López & I. E. Méndez S.,,,,,,,,,,,,
"Meszaros, Zoltan",,,"[author note: Specimens at SV] Examples of Names published: Melocactus nagyi Z. Mészáros, Acta Bot. Acad. Sci. Hung. 22(1-2): 137 (1977); Mammillaria vagaspina subsp. immersa Z. Mészáros & Szutorisz in Succulentes 2006(4): 27. 2006",128540 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2d93c562-ce1a-4f2f-9d52-5f789321cfd4,Zoltan Meszaros,Z. Mészáros,Z.Mészáros,Z. Mészáros,"Meszaros, Zoltan","Cuba, Hungary",Spermatophytes,,"Acta Bot. Acad. Sci. Hung. 22: 137. 1977 (""1976""); pers. comm. with B. Bates",,,,Z. Mészáros & G. Radócz  Z. Mészáros & El. Nagy  Z. Mészáros & P. Jakus,,Hungary,,,,,,,,,1977,,,,,,
"Meyer, Friedrich Karl",1926,2012,"[author note: Brassicaceae, Malpighiaceae; Primulaceae] [collector note: B, HAJB, JE] Example of Name Published: Atropatenia F. K. Meyer in Feddes Repert., 84(5-6): 467. 1973",135525 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/4f4ac36a-9076-416e-b496-74fbf344cb2c,Friedrich Karl Meyer,F. K. Meyer,F.K.Mey.,F. K. Meyer,"Meyer, Friedrich Karl","Cuba, Germany",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY; Death date from Stefan Dressler (FR)","Index Herbariorum, ed. 8",,,,"A. Alvarez, J. Bisse, M. A. Díaz D., M. Bässler, H. Dietrich, M. Duarte, G. Klotz, E. Köhler, A. Leiva, L. Lepper, F. K. Meyer, B. Mory, W. Vent & G. Stohr  J. Bisse, F. K. Meyer, J. Gutiérrez & A. Alvarez  A. Alvarez, C. Beurton, J. Gutierrez, K. F. Gunther, D. H. Mai, F. K. Meyer, R. Rankin, C. A. Sanchez V. & C. Schirarend  J. Bisse, F. K. Meyer, A. Alvarez & J. Gutiérrez  J. Bisse, A. Alvarez, F. K. Meyer & J. Gutiérrez  A. Alvarez, J. Bisse, J. Gutiérrez & F. K. Meyer  J. Bisse & F. K. Meyer  O. Alvarez-F., C. Beurton, J. Gutiérrez, D. Mai, K. F. Günther, F. K. Meyer, C. Panfet, R. Rankin, C. Sánchez & C. Schirarend  A. Alvarez, J. Bisse, M. Bässler, M. A. Díaz D., H. Dietrich, Klotz, E. Köhler, A. Leiva, L. Lepper, F. K. Meyer, B. Mory, G. Stohr & W. Vent  J. Bisse, F. K. Meyer & J. Gutiérrez",,Germany,Phanerogams,,,,,,,,,,,,,,
"Millspaugh, Charles Frederick",1854,1923,[author note: Herbarium and types: F; additional specimens at WVA (important collection)] [collector note: Original herbarium: F; Collection: BUF],100827 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/fdd21f36-52d2-4fab-aafb-b8bbfebcd84c,"Charles Frederick Millspaugh; Millspaugh, C. F.",Millspaugh,Millsp.,C. F. Millspaugh,"Millspaugh, Charles Frederick","Bahamas, Bermuda, Brazil, Cuba, Dominican Republic, Indonesia, Jamaica, Japan, Mexico, Philippines, Sri Lanka, United States of America",Bryophytes; Fungi and Lichens; Pteridophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors M,,Search for specimens collected by C. F. Millspaugh,"[no date] (3),  1888 (1),  1892 (2),  1895 (5),  1899 (4),  1900 (2),  1911 (1),  1920 (1)",N. L. Britton & C. F. Millspaugh  C. F. Millspaugh & C. M. Millspaugh  Britton & Millspaugh  B. L. Robinson & Millspaugh  Millspaugh & Chase  Millspaugh & Sherff  Millsp. & Britton,http://en.wikipedia.org/wiki/Charles_Frederick_Millspaugh,United States of America,,Bahama Fl. [Britton & Millspaugh]; Prelim. Cat. Fl. W. Virginia; Fl. W. Virginia; Living. Fl. W. Virginia,Britton & Millspaugh  B. L. Robinson & Millspaugh  Millspaugh & Chase  Millspaugh & Sherff  Millspaugh & Britton  Millspaugh & L. W. Nuttall,,,,,,,,,,,,
"Moldenke, Charles Edward",1860,1935,[author note: Herbarium and types: NY] [collector note: United States (mainly C. & E.): NY.],128288 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/020853c8-615b-4589-b25e-dbcf0318b311,Charles Edward Moldenke,C. Moldenke,C. Moldenke,C. E. Moldenke,"Moldenke, Charles Edward","Bermuda, Cuba, Egypt, Germany, Greece, Israel, Turkey, United States of America, Venezuela",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors M,,,,C. E. Moldenke & Mrs. C. E. Moldenke,,"Germany, United States of America",,,,,,,,,,,,,,,
"Molinet, Amoros Eugenio",,,[author note: Secretary of Agriculture in Cuba in 1932; worked with Gomez de la Maza.],182097 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/aac1fa4b-501c-4bd8-afa7-510cae85b4bc,Amoros Eugenio Molinet,Molinet,Molinet,Molinet,"Molinet, Amoros Eugenio",,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",,,,,Molinet & M. Gomez,,Cuba,,,Molinet & M. Gomez,,,,,,,,,,,,
"Moncada Ferrera, Milagros",1937,,"[author note: Palynology, Burseraceae]",172163 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e79ace7f-3ed8-41c2-b6e0-6f7e7ddf4149,Milagros Moncada Ferrera,Moncada,Moncada,Moncada,"Moncada Ferrera, Milagros",,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY",,,,,"Borhidi, Jarai-Komlodi & Moncada",,Cuba,,,"Borhidi, Jarai-Komlodi & Moncada",,,,,,,,,,,,
"Monzón, Noa",,,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/58011950-65ff-4d34-b4b4-1acaa74ef56a,,Monzón,,N. Monzón,"Monzón, Noa",,Spermatophytes,"Flora de la republica de Cuba : Serie A, Plantas vasculares el Comite Cientifico Nacional que dirije la obra por Angela Leiva Sanchez y Pedro Perez Alvarez].",,,,,,,Cuba,,,,,,,,,2009,,,,,,
"Morales, Sebastian Alfredo de",1823,1900,[collector note: col. 1890: B.],140532 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/06c64456-f8e7-4fd8-96f0-81e22e12c124,Sebastian Alfredo de Morales,Morales,Morales,S. A. Morales,"Morales, Sebastian Alfredo de",Cuba,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors M,,,,,,,,,,,,,,,,,,,,,
"Morejón, R.",,,(HAJB),,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/cdae038d-e5a0-4524-a35b-730df5bc6ecf,,,,R. Morejón,"Morejón, R.",,,,,,,,,,,,,Morejón & C.Sánchez,2011,,,Cuba,Spermatophytes,,,type (GH) Aspidium triangulum var. laxum Hooker,,,,
"Morelet, Pierre Marie Arthur",1809,1892,[collector note: col. 1848],114693 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f859eeed-bacd-4dc4-9915-65f8ace0730f,Pierre Marie Arthur Morelet,Morelet,Morelet,P. M. A. Morelet,"Morelet, Pierre Marie Arthur","Algeria, Cuba, Guatemala",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors M,,,,,,,,,,,,,,,,,,,,,
"Mory, Birgit",1944,,"[author note: B, BHU; Celastraceae, Hippocrateaceae, morphology, anatomy] [collector note: B, BHU]",107241 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/a65e1b9c-5c65-48de-9d96-7abf150f0032,"Birgit Mory; Mory, B.",Mory,Mory,B. Mory,"Mory, Birgit","Cuba, Germany",Spermatophytes,"Feddes Repertorium. Zeitschrift für Botanische Taxonomie und Geobotanik. Berlin; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY","Index Herbariorum, ed. 8",,,,"A. Alvarez, J. Bisse, M. A. Díaz D., M. Bässler, H. Dietrich, M. Duarte, G. Klotz, E. Köhler, A. Leiva, L. Lepper, F. K. Meyer, B. Mory, W. Vent & G. Stohr  A. Alvarez, J. Bisse, M. Bässler, M. A. Díaz D., H. Dietrich, Klotz, E. Köhler, A. Leiva, L. Lepper, F. K. Meyer, B. Mory, G. Stohr & W. Vent",,Germany,Phanerogams,,,,,,,,,,,,,,
"Mujica Benitez, Ernesto",,,[author note: Univ. Pinar del Río; Orchids],179539 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/0503ab66-bc3e-4c0e-ac58-2105ff0dd20c,Ernesto Mújica Benítez,Mújica Benítez,Múj.Benítez,Mújica Benítez,"Mujica Benitez, Ernesto",,Spermatophytes,Lankesteriana 4(3): 209. 2004.,,,,,,,Cuba,,,,,,,,,2004,,,,,,
"Muller, Cornelius Herman",1909,1997,"[author note: Herbarium and types: LL, TEX; additional material at A, ARIZ, ETST, F, GH, HOU, ILL, LA, MEXU, MICH, MO, NA, NY, PH, SBBG, SMU, SW, TCA, TENN, U, UC, UCSB, US, VDB. Specialist in Quercus] [collector note: see Wynd, Frederick Lyle (Collector #'s 22487 & 22488); UCSB, A (orig.), ARIZ, F, GH, LA, MEXU, MICH, NA, NY, SBBG, TENN, U, UC, ETST, HABAYC, HOU, LUNDELL, MO, PH, SMU, SW, TCA, TEX, TPV, TTC, US]",130575 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/67e4bdd6-b1e9-4f9d-9676-7e8228521aef,"""Mueller"" before 1937, ""Muller"" after 1937.; Cornelius Herman Mueller, later (after 1937) Muller; Mueller, Cornelius Herman; Muller, C. H.",C. H. Müller,C. H. Müll.,C. H. Muller,"Muller, Cornelius Herman","Cuba, Mexico, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors M,,Search for specimens collected by C. H. Muller,"[no date] (27),  1855 (1),  1911 (1),  1921 (2),  1931 (283),  1932 (118),  1933 (5),  1934 (2),  1935 (50),  1939 (67),  1941 (58),  1942 (15),  1945 (4)",C. H. Muller & M. T. Muller  C. H. Muller & L. C. Hinckley  I. M. Johnston & C. H. Muller  C. H. Muller & J. M. Tucker  Trelease & C. H. Müller  K. C. Nixon & C. H. Müller,,"Mexico, United States of America",Phanerogams,,Trelease & C. H. Müller  Nixon & C. H. Müller,,,,,,,,,,,,
"Muñiz, Onaney",,,Example of Name Published: Coccothrinax alexandri subsp. nitida (Leon) Borhidi & O. Muñiz in Bot. Közlem. 58(3): 175. 1971.,182276 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/7a2f7148-d657-4e35-8c5a-d8c84370cc2e,"Muñiz-Gutiérrez, Onaney; Onaney Muñiz",O. Muñiz,O. Muñiz,O. Muñiz,"Muñiz, Onaney",,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum I, ed. 7; Palms 47(1): 15. 2003 (Obituary & Photogr.) (via E. Michaud)",,,,,Borhidi & O. Muniz,,Cuba,,,Borhidi & O. Muniz,1937,2002,,,,,,,,,,
"Murray, Nancy A.",1953,,"[author note: Ohio Wesleyan University; Annonaceae; Herb.: AGUAT, CHAP, DSM, MICH, NY, OWU] [collector note: AGUAT, CHAP, DSM, MICH, NY, OWU]",132844 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/67bc2e53-6a84-4ad1-b1e3-e8f567ee944e,Nancy A. Murray,N. A. Murray,N. A. Murray,N. A. Murray,"Murray, Nancy A.","Brazil, Costa Rica, Cuba, Guatemala, Mexico, Panama, Peru, Tanzania, Trinidad and Tobago, Venezuela",Spermatophytes,Annals of the Missouri Botanical Garden; pers. comm.,pers. comm.,,,,D. M. Johnson & N. A. Murray,,United States of America,Phanerogams,,D. M. Johnson & N. A. Murray,,,,,,,,,,,,
"Murrill, William Alphonso",1869,1957,"[author note: Herbarium and types: NY] [collector note: Florida, New York, Virginia; A, B, C, K, FLAS, MICH, IA, MO, NCU, US, WVA, DAP, CM, DUKE, NY, PC, CUP]",100881 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/ad581388-a844-40b9-a67f-630503bc30b8,"Murrill, W. A.; William Alphonso Murrill",Murrill,Murrill,W. A. Murrill,"Murrill, William Alphonso","Brazil, Cuba, Mexico, United States of America",Fungi and Lichens; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors M,,Search for specimens collected by W. A. Murrill,"[no date] (44),  1869 (1),  1896 (4),  1897 (3),  1898 (2),  1899 (26),  1904 (2),  1905 (12),  1907 (1),  1908 (1),  1909 (2),  1911 (2),  1914 (3),  1921 (1),  1923 (4),  1925 (1),  1926 (6),  1927 (5),  1928 (1),  1932 (4),  1937 (13),  1938 (55),  1939 (6),  1940 (11),  1941 (8),  1942 (5),  1943 (21),  1944 (5),  1947 (2),  1948 (2),  1949 (1),  1950 (5)",W. A. Murrill & J. R. Watson  W. A. Murrill & Murrill  W. A. Murrill & F. J. Seaver  W. A. Murrill & F. S. Earle  W. A. Murrill & H. D. House  T. Morris & W. A. Murrill  W. A. Murrill & H. I. Miller  W. A. Murrill & W. G. Thompson  G. Bresadola & W. A. Murrill  Murrill & Singer  W. A. Murrill & E. J. Palmer  W. A. Murrill & E. A. Murrill  W. A. Murrill & E. L. Murrill,,United States of America,Fungi,North. Polypor.; Amer. Bolet.; South. Polypor.; West. Polypor.; Trop. Polypor.; Edible Poison. Mushrooms; Murr. & Sacc. Nam. Polypor.,Murrill & Singer  Murrill & E. J. Palmer,,,,,,,,,,,,
"Nelson, Edward William",1855,1934,"[author note: Herbarium and types: US; duplicates in A, F, G, GH, K, NY, US] [collector note: Herbarium: US; Alaska: US; Arizona: US; Cuba: US; Guatemala: F; Mexico (col. 1892-1906): A, F, G, GH, K, NY, S, US; Wyoming & Florida: NY]",127455 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/bf155a05-bd8a-4858-a2e4-5333caa9990c,Edward William Nelson,E. W. Nelson,E. W. Nelson,E. W. Nelson,"Nelson, Edward William","Cuba, Guatemala, Mexico, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors N-R,,Search for specimens collected by E. W. Nelson,"[no date] (2),  1891 (3),  1893 (1),  1894 (105),  1895 (121),  1896 (42),  1897 (48),  1898 (67),  1899 (48),  1902 (12),  1903 (35),  1904 (1),  1928 (1),  1953 (1)",E. W. Nelson & E. A. Goldman,,United States of America,Phanerogams,,,,,,,,,,,,,,
"Noa Monzón, Alfredo",,,"[author note: Inst. Superior Pedagogico ""Felix Varela"" Villa Clara] [collector note: HPVC]",122848 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/9ca25216-dbb1-460c-b967-f8e82f7470ca,A. Noa Monzon,A. Noa,A. Noa,A. Noa Monzón,"Noa Monzón, Alfredo",Cuba,Spermatophytes,"Revista del Jardin Botanico Nacional, Universidad de la Habana","Index Herbariorum, ed. 8",,,,,,Cuba,,,,,,,,,1992,,,,,,
"Ortega, Maria Dolores",,,,175501 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/facaea1a-bd3d-49e2-a0ae-f3d00710a32e,Maria Dolores Ortega Menes,M. D. Ortega,M. D. Ortega,M. D. Ortega,"Ortega, Maria Dolores",,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",,,,,,,Cuba,,,,,,,,,1985,,,,,,
Osmet,,,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/fc517024-df5b-4317-96e8-0af9d97ab95d,,,,Osmet,,Cuba,,,specimen (AMES 115124) Epidendrum diurnum (Jaq.) Cogn. [barcode 00287586],,,,Lastra & Osmet,,,Spermatophytes,,,,,1958,,,,,,,,,
"Ossa, José Antonio de la",,1829,"[collector note: Antilles: G-DC, P-JU]",139578 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/af8f49a5-7d34-4225-bf94-4f7f10c96c0f,Jose Antonio de la Ossa,Ossa,Ossa,J. A. de la Ossa,"Ossa, José Antonio de la",Cuba,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors N-R,,,,,,,,,,,,,,,,,,,,,
"Otto, Carlos Frederico Eduardo",1812,1885,"[author note: Herbarium and types: B (mainly destroyed); duplicates BR, K, W. Also collected in North America]",180839 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/5de197de-089f-41c6-b927-fd7d445bbac5,Carlos Frederico Eduardo Otto,C. F. E. Otto,Ed. Otto,C. F. E. Otto,"Otto, Carlos Frederico Eduardo",,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",,,Search for specimens collected by C. F. E. Otto,[no date] (2),,,"Cuba, Germany, Venezuela",,,,,,,,,,,,,,,
"Oviedo Prieto, Ramona",1953,,[author note: Eveythroxylaceae],174807 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/854d4316-894b-4c5c-9352-543306e1da2c,Ramona Orviedo Prieto,Oviedo,Oviedo,Oviedo,"Oviedo Prieto, Ramona",,Spermatophytes,"Acta Bot. Hungarica 37: 91-93. 1992; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY",,,,,,,Cuba,,,,,,,,,,,,,,,
"Pabon Garces, Galo",,,,160656 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/feb8b0c1-50ee-41a6-976b-128fbced0058,Galo Pabon Garces,Pabon,Pabon,Pabon,"Pabon Garces, Galo",,Spermatophytes,Fontqueria. Madrid,,,,,,,Cuba,,,,,,,,,1995,,,,,,
"Panfet Valdés, Cristina Mercedes",,,Example of Name Published: Drosera moaensis Panfet in Rev. Jard. Bot. Nacion. Univ. Habana 12: 27. 1991. [author note: Univ. de La Habana; Myrsinaceae],176971 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/4ae1bd50-759f-4098-b831-cadffe2bd70a,"Panfet, Cristina; Cristina Mercedes Panfet Valdés",Panfet,Panfet,C. M. Panfet V.,"Panfet Valdés, Cristina Mercedes",,Spermatophytes,Fontqueria. Madrid,,,,,,,Cuba,,,,,,,,,1995,,,,,,
"Perez Camacho, Jacqueline",,,,180919 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/11787876-e67f-4c0f-b362-6f19d20b146c,Jacqueline Perez Camacho,J. Perez,J. Perez,J. Perez,"Perez Camacho, Jacqueline",,Spermatophytes,Fontqueria. Madrid,,,,,,,Cuba,,,,,,,,,1994,,,,,,
"Pérez Márquez, Rolando",,,"Name Published: Encyclia rosariensis Múj.Benítez, R. Pérez & Pupulin (2006). [author note: Univ. Pinar del Río]",188125 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/31a48736-4a08-4b00-b0e9-f0407cbc3860,Rolando Pérez Márquez,R. Pérez,R. Pérez,R. Pérez,"Pérez Márquez, Rolando",,Spermatophytes,"Orchids. Magazine of the American Orchid Society. West Palm Beach, Florida.",,,,,,,Cuba,,,,,,,,,2006,,,,,,
"Perrine, Henry",1797,1840,[author note: Herbarium and types: some material at NY. Murdered by a band of Spanish Indians during a raid on Indian Key (TL2)] [collector note: NY],132137 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/1aedbbe9-3985-4d9d-8e09-e106422f52c7,Henry Perrine,Perrine,Perrine,H. Perrine,"Perrine, Henry","Cuba, Mexico, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors N-R,,,,,,"Mexico, United States of America",,,,,,,,,,,,,,,
"Pfeiffer, Louis (Ludwig) Karl Georg",1805,1877,"[author note: Herbarium and types: KASSEL (no longer extant except for some ferns and mosses); some specimens at LE, MW, WRSL]",101043 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/fd6aeb41-72c8-4875-a11c-1ad2069d35fa,Ludwig Karl Georg Pfeiffer; Carl Georg Louis Pfeiffer,Pfeiffer,Pfeiff.,L. K. G. Pfeiffer,"Pfeiffer, Louis (Ludwig) Karl Georg",,Bryophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",,,,,,,"Cuba, Germany, Poland",,Abbild. Beschr. Cact.; Fl. Niederhessen; Enum. Diagn. Cact.; Nomencl. Bot. [Pfeiffer],,,,,,,,,,,,,
"Planellas Giralt, José",1821,1888,"Example of Name Published: Saxifraga lepismigena Planellas Ensayo Fl. Gallega, 224. 1852. [author note: Herbarium and types unknown]",102592 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/0a3cc0c2-d9e3-45e1-b31b-1519d854e395,"José Planellas Giralt; Planellas, José",Planellas,Planellas,J. Planellas Giralt,"Planellas Giralt, José",,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",,,,,,,"Cuba, Spain",,Ensayo Fl. Gallega,,,,,,,,,,,,,
"Poeppig, Eduard Friedrich",1798,1868,"[author note: Herbarium and types: W; duplicate material at B, BM, BR, C, CGE, FI, G, GOET, H, HAL, HBG, JE, K, KIEL, L, LAU, LE, LZ, M, MO, NY, OXF, P, PC, PRC, US, WRSL] [collector note: Brazil (1831-1832); Chile (1827-1829); Colombia (1829-1832); Cuba (1822-1824); Peru (1829-1832); Pennsylvania (1824-1826)]",102269 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/c5af3801-ed17-424b-8070-f8c2924512d0,Eduard Friedrich Poeppig,Poeppig,Poepp.,E. F. Poeppig,"Poeppig, Eduard Friedrich","Brazil, Chile, Colombia, Cuba, Peru, United States of America",Fungi and Lichens; Pteridophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors N-R,,Search for specimens collected by E. F. Poeppig,"[no date] (84),  1819 (1),  1823 (2),  1824 (2),  1828 (2),  1829 (17),  1830 (16),  1831 (12),  1832 (2),  1836 (1),  1839 (1),  1887 (1)",E. F. Poeppig & S. L. Endlicher  Poeppig & Endlicher  Endlicher & Poeppig  Poeppig & Endlicher  Poeppig & Endlicher  Poeppig & Kunth,,Germany,Phanerogams,Fragm. Syn. Pl.; Reise Chile; Nov. Gen. Sp. Pl. (Poeppig & Endlicher),Poeppig & Endlicher  Poeppig & Endlicher  Endlicher & Poeppig  Poeppig & Endlicher  Poeppig & Endlicher  Poeppig & Kunth,,,,,,,,,,,,
"Pollard, Charles Louis",1872,1945,"[author note: Herbarium and types: US; additional material at A, CU, E, F, GH, K, MIN, MISSA, MO, MSC, NY, POM] [collector note: Original herbarium (United States & Canada): US. Florida, Maryland, Mississippi]",123184 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/10a4c9b2-e0b3-48cf-9b89-7105ea1aa514,Charles Louis Pollard,Pollard,Pollard,C. L. Pollard,"Pollard, Charles Louis","Canada, Cuba, United States of America",Pteridophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors N-R,,Search for specimens collected by C. L. Pollard,"[no date] (3),  1894 (4),  1895 (12),  1896 (43),  1897 (20),  1899 (8),  1900 (2),  1901 (5)","C. L. Pollard & W. R. Maxon  C. L. Pollard & Edw. Palmer  C. L. Pollard & G. N. Collins  J. D. Crawford & C. L. Pollard  C. L. Pollard, Edw. Palmer & W. Palmer  C. L. Pollard, G. N. Collins & E. L. Morris  Pollard & C. R. Ball  Dressler & Pollard",,United States of America,Phanerogams; Pteridophytes,,Pollard & C. R. Ball  Dressler & Pollard,,,,,,,,,,,,
"Ponce de León y Aymé, Antonio",1887,1961,"[author note: Herbarium and types: HAJB; additional material at SV] [collector note: HAJB, SV]",143385 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e0842497-72f9-44d9-a3de-ccbad3848047,Antonio Ponce de Leon y Ayme,A. Ponce de Leon,A. Ponce de Leon,A. Ponce de León y Aymé,"Ponce de León y Aymé, Antonio",Cuba,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors N-R,,,,,,Cuba,Phanerogams,,,,,,,,,,,,,,
"Popenoe, Frederick Wilson",1892,1975,"[author note: Herbarium and types: US; additional material at BH, G, GH, K, L, LZ (destroyed), NA, W] [collector note: col. 1913-1920; US]",111073 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/7b60d84d-bbb7-4660-b2b9-ea3ac15e082c,Frederick Wilson Popenoe; Wilson Popenoe,Popenoe,Popenoe,F. W. Popenoe,"Popenoe, Frederick Wilson","Algeria, Brazil, Colombia, Cuba, Ecuador, Guatemala, Honduras, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors N-R,,Search for specimens collected by F. W. Popenoe,"[no date] (1),  1898 (1),  1910 (1),  1917 (1),  1920 (1)","F. W. Popenoe, C. Crawford, & L. O. Williams  F. C. Craighead & J. Popenoe",,"Honduras, United States of America",Phanerogams,,,,,,,,,,,,,,
