Name,First date flourished,Remarks,ASA Botanist ID,GUID,Variant name,Author name,B & P Author Abbrev.,Standard/Label Name,Full Name,Geography Author,Geography Collector,Specialty Author,Specialty Collector,Citation as Author,Citation as Collector,Member of teams/groups,Collector Teams:,Author Teams:,Date of birth,Date of death,Author in,Holdings,Collections in,First date collected,Start Date,URL,Last date flourished,Last date collected,Citation as Determiner,End Date,Geography Determiner,Specialty Determiner
"Müller, Jochen",,"Research: Baccharis in Andean Countries, Festuca. Example of Name Published: Festuca segimonensis Fuente, Joch.Müll. & Ortuñez, Anales Jard. Bot. Madrid 57(1): 178. 1999. [collector note: B, BR, G, GH, GOET, HBG, JE, M, MA, MICH, NY, P, UPS, US]",187402 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/73f51b96-5fb7-4840-996e-35681c14e8ff,Jochen Müller,Joch. Müller,Joch. Müll.,Joch. Müller,"Müller, Jochen",,"Austria, Belgium, Bolivia, Croatia, Czech Republic, France, Germany, Greece, Guatemala, Israel, Italy, Mexico, Poland, Portugal, Spain, Switzerland, United States of America",Spermatophytes,Phanerogams,pers. comm. with Joch. Müller,,,,,1968,,,Search for specimens collected by Joch. Müller,"1999 (1),  2002 (8)",,,,,,,,,
"Murray, Nancy A.",,"[author note: Ohio Wesleyan University; Annonaceae; Herb.: AGUAT, CHAP, DSM, MICH, NY, OWU] [collector note: AGUAT, CHAP, DSM, MICH, NY, OWU]",132844 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/67bc2e53-6a84-4ad1-b1e3-e8f567ee944e,Nancy A. Murray,N. A. Murray,N. A. Murray,N. A. Murray,"Murray, Nancy A.",United States of America,"Brazil, Costa Rica, Cuba, Guatemala, Mexico, Panama, Peru, Tanzania, Trinidad and Tobago, Venezuela",Spermatophytes,Phanerogams,Annals of the Missouri Botanical Garden; pers. comm.,pers. comm.,,D. M. Johnson & N. A. Murray,D. M. Johnson & N. A. Murray,1953,,,,,,,,,,,,,
"Nee, Michael",,"[author note: NY; Solanaceae, floristics of Bolivia and Mexico] [collector note: E. United States: WIS; Panama (col. 1973-74): MO; Wisconsin: DAO, WIS; Mexico (1980-85): F, MEXU, XAL; Bolivia (1985-): LPB, NY, USZ; Brazil: INPA, NY; Wood coll.: MADw; Nicaragua (1983): MO]",112270 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/da4005bc-d24f-4fde-8e68-299a20c5e43e,"Michael Harley Nee; Nee, Michael",M. Nee,M.Nee,M. Nee,"Nee, Michael",United States of America,"Bolivia, Brazil, Colombia, Guatemala, Mexico, Nicaragua, Panama, Peru, Suriname, United States of America, Venezuela",Spermatophytes,Bryophytes; Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors N-R; Candollea; Organe du Conservatoire et du Jardin Botaniques de la Ville de Genève. Geneva,,"S. A. Mori, J. A. Kallunki, T. S. Cochrane, B. A. Cochrane, B. F. Hansen, R. R. Kowal & M. Nee  M. Nee & E. L. Tyson  M. Nee & W. R. Tellez  M. Nee & M. E. Hale  M. Nee & H. Stockwell  J. C. Solomon & M. Nee  M. Nee & G. E. Schatz  M. Nee & R. L. Dressler  M. Nee & J. I. Calzada  M. Nee & J. C. Solomon  M. Nee & R. Wrambrodt  C. C. Berg & M. Nee  M. Nee & M. D. Whalen  H. H. Iltis & M. Nee  B. F. Hansen & M. Nee  D. C. Daly, M. Nee, Saldia, Hinojo & Villegas  M. Nee & S. A. Mori  M. Nee & J. D. Dwyer  M. Nee & I. Vargas C.  G. M. Diggs, M. Nee & G. E. Schatz  M. Nee & Coimbra  Lira & M. Nee  K. Taylor, M. Nee & A. Hernandez  M. Nee & K. R. Taylor  H. H. Iltis, R. Guzman M., M. Nee  M. Nee & G. Castillo C.  M. H. Nee & D. E. Atha  M. Nee & B. F. Hansen  M. H. Nee, B. F. Hansen & M. Phillips  M. Nee & J. L. Clark  W. G. D'Arcy, C. E. Benítez de Rojas & M. H. Nee  M. Nee & M. Mendoza  J. L. Clark, M. Nee, L. A. Bohs & S. D. Knapp  E. L. Tyson & M. Nee  M. Nee, M. A. Sundue, S. P. Churchill, A. de Churchill & J. M. Mendoza F.  M. Nee & A. H. Gentry  G. M. Diggs & M. Nee  M. Nee, G. M. Diggs & F. Ramirez  M. Nee & D. H. R. McClelland  D. E. Williams, G. Coimbra S., & M. Nee  M. Nee & F. Farruggia  M. Nee & G. Diggs  B. F. Hansen, J. Hansen & M. Nee  M. Nee, M. Sundue, M. Mendoza & A. Arbelaez","Lira & M. Nee  J. L. Clark, M. Nee, Bohs & S. Knapp  M. Nee & Farruggia",1947,,,Search for specimens collected by M. Nee,"1971 (1),  1973 (25),  1974 (12),  1977 (2),  1978 (3),  1979 (1),  1981 (15),  1982 (4),  1983 (3),  1984 (9),  1985 (1),  1986 (1),  1987 (12),  1989 (2),  1990 (1),  1991 (4),  1993 (22),  1995 (7),  2003 (14),  2006 (4),  2008 (1),  2009 (2),  2010 (5),  2011 (1),  2019 (4)",,,,,,,,,
"Nelson, Edward William",,"[author note: Herbarium and types: US; duplicates in A, F, G, GH, K, NY, US] [collector note: Herbarium: US; Alaska: US; Arizona: US; Cuba: US; Guatemala: F; Mexico (col. 1892-1906): A, F, G, GH, K, NY, S, US; Wyoming & Florida: NY]",127455 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/bf155a05-bd8a-4858-a2e4-5333caa9990c,Edward William Nelson,E. W. Nelson,E. W. Nelson,E. W. Nelson,"Nelson, Edward William",United States of America,"Cuba, Guatemala, Mexico, United States of America",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors N-R,,E. W. Nelson & E. A. Goldman,,1855,1934,,Search for specimens collected by E. W. Nelson,"[no date] (2),  1891 (3),  1893 (1),  1894 (105),  1895 (121),  1896 (42),  1897 (48),  1898 (67),  1899 (48),  1902 (12),  1903 (35),  1904 (1),  1928 (1),  1953 (1)",,,,,,,,,
"Pacheco H., Mariano",,"[collector note: Herbarium, Chicago Natural History Museum.]",,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/5267a5e4-a614-4fd9-b235-7ea5aa1e758a,"Mariano Pacheco H.; Pacheco H., M.",,,M. Pacheco H.,"Pacheco H., Mariano",,Guatemala,,Spermatophytes,,specimen (AMES) Encyclia nematocaulon (A. Richard) Acuña,,,,,,,Search for specimens collected by M. Pacheco H.,1957 (4),,1957,,,,,,,
"Paredes C., Hugo Armando",,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/4e26127c-84a8-45a4-9cc8-a7d3ae8b7b1d,"Hugo Armando Paredes C.; Paredes, C., H. A.",,,H. A. Paredes C.,"Paredes C., Hugo Armando",,Guatemala,,Spermatophytes,,,,,,,,,Search for specimens collected by H. A. Paredes C.,1990 (1),,1990,,,,,,,
"Pittier, Henri Francois",,"[author note: Herbarium and types: BR, CR, US, VEN; duplicate material at A, AMES, B (extant), BH, BM, C, F, G, GH, K, L, LAU, LE, M, MO, NY, PC, PH, S, W, Z; Biography: B. Häsler & W. T. Baumann: Henri Pittier 1857- 1950. Leben und Werk eines Schweizer Naturforschers in den Neotropen. Basel: Friedrich Reinhardt, 2000. Judson Wood, jr.]] [collector note: Central and South America. Pittier did not collect with Th. A. Durand. Pittier did send plants to Durand for identification, and so on many labels of Pittier's Costa Rica plants Durand's name is mentioned also]",100482 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/3d1332a7-8071-4e51-a840-da48c71d3ecd,Henri Francois Pittier; Henri Pittier; Pittier de Fabrega,Pittier,Pittier,H. F. Pittier,"Pittier, Henri Francois","Colombia, Costa Rica, Switzerland, Venezuela","Colombia, Costa Rica, Guatemala, Mexico, Nicaragua, Panama, Switzerland, Uruguay, Venezuela",Pteridophytes; Spermatophytes,Phanerogams; Fungi; Bryophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors N-R; Rocky Mountain Naturalists (J. Ewan),,"H. F. Pittier & T. A. Durand  H. F. Pittier & A. Tonduz  H. F. Pittier, J. Saer & A. Jahn  H. F. Pittier & M. Nakichenovich  Pittier & Francey  Mez & Pittier  T. Durand & Pittier  Britton & Pittier  Pittier & S. F. Blake  H. A. T. Harms & H. F. Pittier",Pittier & Francey  Mez & Pittier  T. Durand & Pittier  Britton & Pittier  Pittier & S. F. Blake  Harms & Pittier,1857,1950,"Arb. Arbust. Venez.; Man. Pl. Usual. Venez.; Cat. Fl. Venez.; Supl. Pl. Usual. Venez.; Gen. Pl. Venez.; Mesa Guanipa, Ensayo Fitogeogr.; Classif. Nat. Pl.; Clav. Fam. Pl. Venez.; Evol. Ci. Nat. Venez.; Esboz. Form. Veg. Venez.",Search for specimens collected by H. F. Pittier,"[no date] (51),  1879 (1),  1888 (5),  1889 (11),  1890 (20),  1891 (26),  1892 (15),  1893 (2),  1894 (3),  1895 (2),  1896 (8),  1897 (21),  1898 (6),  1899 (12),  1900 (14),  1901 (2),  1902 (16),  1903 (1),  1904 (1),  1905 (15),  1906 (28),  1907 (3),  1911 (175),  1912 (17),  1913 (13),  1914 (19),  1915 (1),  1917 (29),  1918 (40),  1919 (15),  1920 (55),  1921 (58),  1922 (84),  1923 (27),  1924 (18),  1925 (30),  1926 (13),  1927 (21),  1928 (13),  1929 (14),  1930 (1),  1936 (3),  1937 (1),  1940 (1)",,,,,,,,,
"Popenoe, Frederick Wilson",,"[author note: Herbarium and types: US; additional material at BH, G, GH, K, L, LZ (destroyed), NA, W] [collector note: col. 1913-1920; US]",111073 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/7b60d84d-bbb7-4660-b2b9-ea3ac15e082c,Frederick Wilson Popenoe; Wilson Popenoe,Popenoe,Popenoe,F. W. Popenoe,"Popenoe, Frederick Wilson","Honduras, United States of America","Algeria, Brazil, Colombia, Cuba, Ecuador, Guatemala, Honduras, United States of America",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors N-R,,"F. W. Popenoe, C. Crawford, & L. O. Williams  F. C. Craighead & J. Popenoe",,1892,1975,,Search for specimens collected by F. W. Popenoe,"[no date] (1),  1898 (1),  1910 (1),  1917 (1),  1920 (1)",,,,,,,,,
"Popenoe, Hugh",,"[Collector note: GH. Son of Wilson Popenoe - a plant exporer, horticultirist, and educator. Hugh Popenoe, Dr. Popenoe. 1929-2011]",,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b19f4b4e-e564-48bd-9202-cdada98f4d4d,"Popenoe, H.",,,H. Popenoe,"Popenoe, Hugh",,Guatemala,,Spermatophytes,,https://tropicalstudies.org/wp-content/uploads/2019/07/in-memoriam-ots-founder-dr.-hugh-popenoe-university-of-florida-1929-2011.pdf; Specimen (GH): Tabernaemontana alba,,,,1929,2011,,Search for specimens collected by H. Popenoe,1961 (1),,,,,,,,,
"Porter, John",,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/028a263e-9687-4efb-a549-99a8195155d0,"Porter, J. bis; John Porter",,,J. Porter bis,"Porter, John",,Guatemala,,Spermatophytes,,,,,,,,,Search for specimens collected by J. Porter bis,"[no date] (1),  1938 (19),  1939 (1)",,1938,,,,,,,
"Pupulin, Franco",,"[author note: Orchidaceae] [collector note: SEL, USJ]",128105 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e8aff4ad-55d5-4d9f-9c63-98202fa2e9a4,Franco Pupulin,Pupulin,Pupulin,F. Pupulin,"Pupulin, Franco","Costa Rica, Italy","Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, Guatemala, Italy, Panama",Spermatophytes,Phanerogams,"Lindleyana; Scientific Journal of the American Orchid Society. West Palm Beach, FL; Selbyana 18: 7. 1997; pers. comm.","Lindleyana; Scientific Journal of the American Orchid Society. West Palm Beach, FL",,"F. Pupulin & M. Flores  D. E. Mora-Retana & F. Pupulin  M. A. Blanco, F. Pupulin, H. León-Páez & G. Gerlach  F. Pupulin, R. L. Dressler, K. Dressler, D. E. de Mora-Retana & R. Dodero  F. Pupulin & D. Castelfranco  F. Pupulin, D. Castelfranco, H. L. P. Montealegre & A. C. Rodríguez  D. E. Mora-Retana, F. Pupulin & A. Herrera  F. Pupulin, M. L. Spadari, J. Cambronero, V. Juarez-Pérez & K. Granado  F. Pupulin, D. Castelfranco & E. Salas  F. Pupulin, H. L. P. Montealegre, M. Bonilla & J. C. Cervantes  F. Pupulin, D. Castelfranco & L. Spadari  F. Pupulin, A. P. Karremans & G. Merino  R. L. Dressler & F. Pupulin  F. Pupulin & M. A. Blanco  B. K. Holst, J. R. Clark, M. A. Blanco, S. Dalström, N. Edmondson, G. Gerlach, W. E. Higgins, J. M. Heaney, J. Katzenstein, H. L. P. Montealegre & F. Pupulin","Pupulin, Karremans & G. Merino  Dressler & Pupulin  Pupulin & Karremans  Pupulin & M. A. Blanco  F. Pupulin, Isler. F. Chinchilla, A.F. Rojas-Alvarado, M. Fernández, C. Ossenbach & D. Bogarín   F. Pupulin & D. Bogarín",1960,,"Vanishing Beauty, Native Costa Rican Orchids",Search for specimens collected by F. Pupulin,2009 (1),,,,,,,,,
"Purdie, William",,"[author note: Herbarium and types: important sets at CGE, E, K; additional material at B, COLU, FI, GH, GOET, L, MEDEL, NY, P, TCD, U, US, W] [collector note: col. 1843-1857; K, W]",119019 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/a489f991-d97d-4546-975e-094786869b94,William Purdie,Purdie,Purdie,W. Purdie,"Purdie, William",,"Colombia, Guatemala, Jamaica, Panama, Sierra Leone, Trinidad and Tobago",Spermatophytes,Bryophytes; Lichens; Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors N-R,,,,1817,1857,,Search for specimens collected by W. Purdie,"[no date] (56),  1826 (1),  1834 (1),  1844 (6),  1845 (4),  1846 (3),  1894 (1),  1897 (1),  1984 (1)",,,,,,,,,
"Ramirez, H. M.",,"[collector note: Herbario de la Escuela Nacional Central de Agricultura. Collected in San Martin, Guatemala]",,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/7459c8ba-8c32-4020-9605-0df7baed834f,,,,H. M. Ramirez,"Ramirez, H. M.",,Guatemala,,Spermatophytes,,specimen (AMES) Corallorhiza odontorhiza var. pringlei (Greenman) Freudenstein,,,,,,,Search for specimens collected by H. M. Ramirez,1938 (1),1938,,,,,,,,
"Roseman, Robin R.",1990,[author note: Herbarium and types: IA. Asteraceae (Bidens)] [collector note: IA],141705 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/ef61ffcc-3739-44fb-a7d0-16a5dc126cb3,Robin R. Roseman,Roseman,Roseman,R. R. Roseman,"Roseman, Robin R.",United States of America,"Costa Rica, Guatemala, Mexico, Panama, United States of America",Spermatophytes,Phanerogams,Phytologia; Designed to Expedite Botanical Publication. New York,Phytologia; Designed to Expedite Botanical Publication. New York,,,,,,,Search for specimens collected by R. R. Roseman,"1971 (1),  1979 (4),  1980 (2)",,,,,,,,,
"Rowland, L. O.",,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/6ca277c7-b7f6-44da-90cb-0469c4800cc0,,,,L. O. Rowland,"Rowland, L. O.",,Guatemala,,Spermatophytes,,,,L. O. Rowland & S. C. Snedaker,,,,,Search for specimens collected by L. O. Rowland,1964 (3),,1964,,,,,,,
"Santamaria Aguilar, Daniel",,"[collector note: Type collection of Cuatresia amistadensis D. A. Soto & A. K. Monro (Costa Rica): BM, INB, MO, PMA; ENAG] Research: Freziera & Costa Rican flowering plants. Example of Name Published: Fevillea narae A.Estrada & D.Santam. in J. Bot. Res. Inst. Texas 4(1): 45. 2010",117378 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/300490c2-2a0b-4c26-a24f-1db9a2fb9225,"Daniel Santamaría Aguilar; Santamaría, Daniel",D. Santamaría,D.Santam.,D. Santamaria A.,"Santamaria Aguilar, Daniel","Costa Rica, United States of America","Bolivia, Costa Rica, Guatemala, Panama, Peru",Spermatophytes,Phanerogams,"Harvard Papers in Botany. Cambridge, MA",Index Herbariorum - Collectors S,,"W. T. Kittredge & Daniel Santamaria  A. Estrada & D. Santamaria Aguilar  D. Santamaria Aguilar & J. F. Morales  D. Santamaria Aguilar & L. Lagomarsino  Q. Jimenez M., D. Santamaria A. & A. K. Munro  D. Santamaria A. & W. T. Kittredge  D. Santamaria A., A. K. Monro & N. A. Brummitt  Q. Jiménez M. & D. Santamaria A.  D. Santamaria A., D. Solano, M. Moraga, C. Godínez & Alex. Rodríguez  D. Santamaria & D. E. Boufford  R. A. de Jesús Aguilar F. & D. Santamaria A.  A. G. Estrada C., D. Santamaria A. & R. A. de J. Aguilar F.  D. Santamaria A., L. Diego V. & G. VIllalobos  D. Santamaria Aguilar & R. Aguilar  L. P. Lagomarsino & D. Santamaria A.  L. P. Lagomarsino, D. Santamaria A., J. Wells & F. Farro  L. P. Lagomarsino, D. Santamaria A. & J. M. Mendoza F.  D. Santamaria & D. A. Neill  L. P. Lagomarsino, D. Santamaria & J. Janovec","A. Estrada & D. Santamaria  D. Santamaria & Lagomarsino  Q. Jimenez, D. Santamaria & A. K. Monro  Q. Jimenéz & D. Santamaria  Aguilar & D. Santamaria  A. Estrada, D. Santamaria & Aguilar  D. Santamaria Aguilar & R. Aguilar  Lagomarsina & D. Santamaria  D. Santamaria Aguilar, D. A. Neill & L. P. Lagomarsino",1985,,,,,,,,,,,,,
"Saunders, George Bradford",,"[collector note: GH, US]",,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/62682d96-9774-412c-a79d-f313a991e41b,"Saunders, G. B.; George Bradford Saunders",,,G. B. Saunders,"Saunders, George Bradford",,Guatemala,,Spermatophytes,,Specimen (GH): Trichilia sp.,,,,1907,2001,,Search for specimens collected by G. B. Saunders,1942 (1),,,,,,,,,
"Schieber, Eugenio",1987,"[author note: Pl. Pathologist, Antigua]",162177 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/a573839d-25b4-495a-a106-a34757d3e5d9,Eugenio Schieber,Schieber,Schieb.,Schieber,"Schieber, Eugenio",Guatemala,,Spermatophytes,,Calif. Avocado Soc. Yearbook 21: 199. 1987,,,,,,,,,,,,,,,,,,
"Schipp, William August",,"[author note: Herbarium and types: BM, (1,498), BRH (1,462), F (1,934, most complete set), K (1,166), UC (1,066); additional sets at A, AMES, B, BKL, E, G, GH, K, L, LCU, MICH, MO, NY, PH, S, UC, US, Z] [collector note: Belize (col. 1929-1938)]",102585 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/3eb67773-4301-4185-a414-c7d107f6d82d,William August Schipp,Schipp,Schipp,W. A. Schipp,"Schipp, William August","Australia (Country), Belize","Belize, Guatemala, Honduras, Mexico",Spermatophytes,,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors S,,,,1891,1967,Fl. Brit. Hond.,Search for specimens collected by W. A. Schipp,"[no date] (14),  1925 (4),  1928 (1),  1929 (102),  1930 (51),  1931 (19),  1932 (59),  1933 (45),  1934 (78),  1935 (27),  1999 (2)",,,,,,,,,
"Schrenk, Hermann von",,"[author note: Herbarium and types: MO; additional material at CUP, DPU, GH, NMW, NY, PH, U] [collector note: Original collections: MO; Guatemala: U (col. 1935); Newfoundland: GH, MO, PH; United States: B (r. 1910), DPU, GH, NY, Massachusetts: NEBC; Tierra del Fuego: NMW (col. 1906); Collection: CUP]",127934 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2684eecd-2995-4918-890b-334194e0021c,"Schrenk, H. von",H. Schrenk,,H. von Schrenk,"Schrenk, Hermann von",United States of America,"Guatemala, United States of America",Fungi and Lichens,Lichens; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors S,,"B. L. Robinson & H. v. Schrenk  B. L. Robinson, J. M. Greenman & H. v. Schrenk  J. M. Greenman, H. v. Schrenk & B. L. Robinson  J. Robinson, J. F. Greenman & H. von Schrenk  J. Robinson; J. H. Greenman & H. von Schrenk",H. Schrenk & Spaulding,1873,1953,,Search for specimens collected by H. von Schrenk,"[no date] (6),  1892 (1),  1893 (2),  1894 (7),  1895 (1),  1896 (1),  1898 (3),  1899 (17),  1900 (3),  1901 (1),  1902 (1),  1905 (1),  1906 (1),  1908 (1),  1912 (1),  1913 (1),  1914 (3),  1917 (1),  1923 (1),  1931 (3),  1936 (4),  1937 (12),  1938 (1),  1942 (1)",,,,,,,,,
"Schwerdtfeger, F.",,"[author note: Pinus] [collector note: S. W. Africa (col. 1952-53): M; G; Guatemala (col. 1950)] Example of Names published: Pinus tecunumanii F. Schwerdtf. in Entomol. Forest. Guatem., 1 (Pinos Guatem.): 39, 52 (1953) Spanish descr. only.",140964 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f0cc7e96-aaaa-436d-ac65-749ca36e7984,F. Schwerdtfeger,Schwerdtfeger,Schwerdtfeger,F. Schwerdtfeger,"Schwerdtfeger, F.",Germany,Guatemala,Spermatophytes,,Ci. Forest. (Mexico) 8(41): 4. 1983.; Biography in: https://www.biologie-seite.de/Biologie/Fritz_Schwerdtfeger (via Hans-Joachim Esser; M),Index Herbariorum - Collectors S,,,,1905,1986,,,,,,,,,,,,
"Schwerdtfeger, Fritz",1953,[author note: Pinus],162667 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/4f588e1d-dca2-4bc7-a502-16179793e12b,Fritz Schwerdtfeger,F. Schwerdtf.,F. Schwerdtf.,F. Schwerdtf.,"Schwerdtfeger, Fritz",Guatemala,,Spermatophytes,,Ci. Forest. (Mexico) 8(41): 4. 1983,,,,,,,,,,,,,,,,,,
"Scott, Arthur Moreland",,[author note: Herbarium and types: FH] [collector note: (col. 1938-54): FH],124471 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/104f7826-1b9e-40af-9d68-79ff2eabcd96,Arthur Moreland Scott,A. M. Scott,A. M. Scott,A. M. Scott,"Scott, Arthur Moreland",United States of America,"Cuba, Guatemala, Panama, United States of America",Algae; Spermatophytes,,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors S,,R. L. Grönblad & A. M. Scott  A. M. Scott & R. L. Grönblad,"Gronblad, Prowse & A. M. Scott  Grönblad & A. M. Scott  A. M. Scott & Prescott  Prescott & A. M. Scott  A. M. Scott & Gronblad",1888,1963,,Search for specimens collected by A. M. Scott,"1950 (7),  1951 (19)",,,,,,,,,
"Seler, Eduard Georg",,"[author note: Herbarium and types: B (6,000, original set destroyed, duplicates extant); additional material at A, CAS, DS, F, GH, K, MEXU, MO, NY, US] [collector note: Often C. Seler & Ed. Seler. Collections at B (6,000, original set destroyed, duplicates extant); additional material at A, CAS, DS, F, GH, K, MEXU, MO, NY, US]",170146 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/21413813-049d-4583-be2b-ba9afb560455,"Eduard Georg Seler; G. E. Seler (an error); Seler, Georg Eduard (an error)",Seler,Seler,E. G. Seler,"Seler, Eduard Georg","Germany, Guatemala, Mexico","Bolivia, Guatemala, Mexico, United States of America",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors S,,C. Seler & E. G. Seler,,1849,1922,,Search for specimens collected by E. G. Seler,"[no date] (2),  1887 (1),  1888 (7),  1895 (4),  1896 (14),  1902 (3),  1904 (1),  1906 (2),  1907 (1),  1910 (2),  1911 (1)",,,,,,,,,
"Seler-Sachs, Caecilie",,"[author note: Accompanied her husband, Eduard Georg Seler and collected plants with him; his collections at B (6,000, original set destroyed, duplicates extant); additional material at A, CAS, DS, F, GH, K, MEXU, MO, NY, US]",100867 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/79281b58-12cd-4bde-8104-e70e67ac6537,née Caecilie Sachs; Caecilie Seler-Sachs; Caecilie Seler,C. Seler-Sachs,C. Seler-Sachs,C. Seler-Sachs,"Seler-Sachs, Caecilie","Germany, Guatemala, Mexico",,Spermatophytes,,,,,,,1855,1933,Auf Alten Wegen Mexiko Guatemala,,,,,,,,,,,
"Shannon, William Cummings",,"[author note: Herbarium and types: US; additional material at B (mostly destroyed), BR, E, F, GH] [collector note: B, E?, F, GH, US (orig.)]",140904 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2200a6c1-9255-4d46-af14-b763811ad36f,William Cummings Shannon,Shannon,Shannon,W. C. Shannon,"Shannon, William Cummings",United States of America,"El Salvador, Guatemala, Honduras",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors S,,,,1851,1905,,Search for specimens collected by W. C. Shannon,"1892 (3),  1893 (1)",,,,,,,,,
